file,date,time,zip code,subspecies,health,pollen_carrying,caste,City,State,Country,is_healthy
041_066.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_072.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_073.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_067.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_059.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_071.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_065.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_064.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_070.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_058.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_074.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_060.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_048.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_049.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_061.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_075.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_063.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_076.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_062.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_039.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_005.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_011.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_010.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_004.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_038.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_012.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_006.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_007.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_017.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_003.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_002.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_016.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_000.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_014.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_028.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_029.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_015.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_001.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_018.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_024.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_030.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_031.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_025.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_019.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_033.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_027.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_026.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_032.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
041_036.png,8/28/18,16:07,77511,-1,hive being robbed,False,worker,Alvin,TX,USA,0
